gaze_yaw,gaze_pitch,head_yaw,head_pitch,head_roll,face_cx,face_cy,face_w,face_h,target_x,target_y,point_index,phase,schedule_index
-0.1049190936610102,-0.3320267535746097,-22.07008736737697,12.856009922570838,-0.981980477164644,383.875,148.3125,195.75,234.375,412.0,172.0,0,,
-0.0404884193558245,-0.2689944516335215,-22.378511571868604,13.05471923401354,-1.1355696077429311,383.8571428571428,150.5,195.7142857142857,234.42857142857144,1720.0,172.0,1,,
-0.0125730117516858,0.3203713255269186,-10.12359500118585,11.817117234295155,1.3693676816733265,381.57142857142856,152.57142857142858,192.8571428571429,232.28571428571428,3027.0,172.0,2,,
-0.1788264023406165,-0.3083290117127554,20.32500496654245,12.321522359343488,5.119370874867518,383.4285714285714,153.35714285714286,191.14285714285717,233.28571428571428,412.0,720.0,3,,
-0.0955557444498741,-0.1806750944150345,26.38185487219122,13.748282030754249,5.786084656974745,382.3571428571428,154.42857142857142,191.57142857142856,232.0,1720.0,720.0,4,,
-0.1335742335234369,0.2761816850730351,-12.743087283153882,10.379928937629924,0.6214637299975395,382.2857142857143,154.57142857142858,192.0,230.8571428571429,3027.0,720.0,5,,
-0.2797891625336238,-0.2983492740562984,2.2790126236202144,10.883094832830292,2.8251369714336607,382.9285714285714,156.0,191.8571428571429,230.8571428571429,412.0,1267.0,6,,
-0.3571185341903141,0.0498483282114778,-6.900282963568641,8.891229449541457,1.1283127660489356,381.3571428571428,156.42857142857142,193.28571428571428,229.14285714285717,1720.0,1267.0,7,,
-0.2537132373877934,0.3538132778235844,-17.00561272964739,11.135759299429123,-0.4388925567819594,380.3571428571428,156.64285714285714,192.7142857142857,228.7142857142857,3027.0,1267.0,8,,
-0.12706341488020761,-0.2963897969041552,-24.286658772259354,10.923062329320427,0.5629858031711714,390.5,168.57142857142858,179.57142857142858,214.85714285714286,412.0,172.0,0,grid_pass_1,0.0
-0.0760030427149364,-0.022746782400645316,-25.150406351870632,10.569029012193722,0.2214841452120067,390.14285714285717,168.5,179.71428571428572,215.0,1720.0,172.0,1,grid_pass_1,1.0
-0.06448833315101053,0.180454426578113,-24.08332744111879,10.151205016924596,0.3186089886782944,390.35714285714283,168.07142857142858,179.0,213.85714285714286,3027.0,172.0,2,grid_pass_1,2.0
-0.1928961511169161,-0.2932358043534415,-24.45842476104874,10.89583260148258,0.9224435569741607,390.7857142857143,167.64285714285714,179.0,214.71428571428572,412.0,720.0,3,grid_pass_1,3.0
-0.2201554285628455,-0.010376132159893001,-24.567089733635292,10.200222455065273,0.64454453515957,390.35714285714283,167.07142857142858,178.71428571428572,214.14285714285714,1720.0,720.0,4,grid_pass_1,4.0
-0.15594205047403062,0.211773048554148,-24.35601675163127,10.19896063792145,0.48852199421544845,390.5,167.78571428571428,179.0,213.57142857142858,3027.0,720.0,5,grid_pass_1,5.0
-0.31364630801337107,-0.29490476846694946,-23.755117277680093,10.696674703433704,1.1534774525693965,391.64285714285717,167.71428571428572,177.85714285714286,214.28571428571428,412.0,1267.0,6,grid_pass_1,6.0
-0.3302227769579206,0.01242509270481865,-24.763343053992145,9.434711823770556,1.1028139315680423,391.42857142857144,167.42857142857142,178.85714285714286,214.0,1720.0,1267.0,7,grid_pass_1,7.0
-0.2420784192425864,0.30074724342141834,-24.213206529555784,8.999340460663035,0.6336204541595732,391.2142857142857,167.5,178.42857142857142,213.0,3027.0,1267.0,8,grid_pass_1,8.0
-0.11813508932079587,-0.305998010294778,-25.002283178262562,11.191959732739024,0.758844739444405,391.2142857142857,167.57142857142858,178.71428571428572,214.57142857142858,412.0,172.0,0,grid_pass_2,9.0
-0.0639214606157371,-0.030391653068363667,-25.321880226707727,10.860447194124008,0.4021287524299412,389.64285714285717,167.21428571428572,179.0,214.42857142857142,1720.0,172.0,1,grid_pass_2,10.0
-0.08706398946898324,0.17482934253556387,-24.78131748014797,10.383806720871743,0.17475210870364322,389.57142857142856,167.5,178.85714285714286,213.0,3027.0,172.0,2,grid_pass_2,11.0
-0.23885363340377808,-0.30238474692617145,-24.05928841631203,11.220871403323892,1.0760440147588497,390.42857142857144,167.35714285714286,178.85714285714286,213.28571428571428,412.0,720.0,3,grid_pass_2,12.0
-0.19509983914239065,-0.010680227561221858,-24.294062725061327,10.342035730030258,0.9006442796549022,390.42857142857144,167.71428571428572,178.85714285714286,214.57142857142858,1720.0,720.0,4,grid_pass_2,13.0
-0.1793441218989236,0.2317068087203162,-23.989563789939734,10.025136004548402,0.5867942449781326,390.2142857142857,167.5,178.42857142857142,213.0,3027.0,720.0,5,grid_pass_2,14.0
-0.3248084570680346,-0.3139447399548122,-23.94045060321668,10.778335946482997,1.170406340729869,390.7142857142857,167.78571428571428,178.0,213.57142857142858,412.0,1267.0,6,grid_pass_2,15.0
-0.32364567262785776,-0.012572441582701035,-24.34149261366258,10.355468966503423,0.847338842194018,390.92857142857144,168.14285714285714,178.14285714285714,213.71428571428572,1720.0,1267.0,7,grid_pass_2,16.0
-0.2559962868690491,0.2638585524899619,-24.594623994400468,9.721954687918274,0.7719281371651131,390.92857142857144,168.5,178.14285714285714,213.0,3027.0,1267.0,8,grid_pass_2,17.0
-0.16218190959521703,-0.00873600595098521,-25.056127991060325,10.335167835627866,0.9124466496686969,391.07142857142856,168.21428571428572,178.14285714285714,213.57142857142858,1720.0,720.0,0,center_refine,18.0
-0.1931412752185549,-0.09988589132470745,-25.479613575996332,10.671452656356848,0.8844500354159622,391.07142857142856,168.14285714285714,178.14285714285714,213.71428571428572,1204.0,720.0,1,center_refine,19.0
-0.14855394193104335,0.09393631560461861,-25.004256735422878,10.106336150844202,0.929141200667256,391.42857142857144,168.07142857142858,178.85714285714286,213.85714285714286,2236.0,720.0,2,center_refine,20.0
-0.1436896792479924,0.008621033480656999,-25.301492275764154,10.226036126534982,0.9320058618758408,391.35714285714283,168.14285714285714,178.71428571428572,213.71428571428572,1720.0,503.0,3,center_refine,21.0
-0.24725731355803354,0.0013930998642795853,-25.32079254952585,10.292716281514531,0.9189062169219581,391.5,168.0,179.0,214.0,1720.0,936.0,4,center_refine,22.0
-0.12477435171604156,-0.2655791108097349,-25.591977249696974,10.915581708259241,1.1593978744963473,391.7142857142857,167.71428571428572,178.57142857142858,214.57142857142858,868.0,223.0,0,random_refine,23.0
-0.19035857703004563,-0.09642651909962296,-24.779874460698384,10.67033660587917,1.1168903550960871,391.92857142857144,167.85714285714286,178.14285714285714,214.0,1538.0,673.0,1,random_refine,24.0
-0.15387703052588872,-0.0589190556534699,-25.283444297911984,10.802473930000389,0.9828391144533839,392.07142857142856,167.92857142857142,178.14285714285714,214.14285714285714,1326.0,457.0,2,random_refine,25.0
-0.16040064181600297,-0.208442428282329,-24.28705135891158,10.682074855259755,1.4060934353933345,392.2142857142857,168.0,178.42857142857142,214.0,831.0,350.0,3,random_refine,26.0
-0.2195056208542415,0.26734569455896107,-24.569594173794744,9.882720323045172,1.1325094092074193,391.5,168.5,179.0,213.0,2830.0,1036.0,4,random_refine,27.0
-0.1421514047043664,-0.28283193707466125,-24.725912680886086,11.026375548661289,1.155663538319865,392.35714285714283,168.0,178.71428571428572,214.0,542.0,233.0,5,random_refine,28.0
-0.18768263288906642,-0.28764386049338747,-24.48716907681509,10.726634594937378,1.369931334335742,392.07142857142856,168.0,178.14285714285714,214.0,795.0,619.0,6,random_refine,29.0
-0.3066170130457197,-0.07929311266967229,-24.981815506872803,10.221696318287984,1.2564498885002016,392.0,168.14285714285714,178.0,213.71428571428572,1364.0,1206.0,7,random_refine,30.0
-0.05226838202880962,0.24052876234054565,-24.77254118310655,10.204352794177197,0.7114512739727924,392.35714285714283,167.71428571428572,178.71428571428572,213.42857142857142,2877.0,226.0,8,random_refine,31.0
-0.10579343033688408,0.24753001970904215,-24.7749672576839,9.810797550668772,1.078232262548994,392.42857142857144,167.92857142857142,178.85714285714286,213.85714285714286,2710.0,579.0,9,random_refine,32.0
